indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.507,0.357,0.143,0.199,0.169,0.078,0.04,51.921,-0.445
0.515,0.071,0.179,0.338,0.17,0.056,0.021,52.394,-1.881
0.501,0.541,0.164,0.06,0.311,0.116,0.077,53.73,-1.889
0.509,0.108,0.184,0.203,0.162,0.053,0.047,53.784,-1.593
0.545,0.407,0.113,0.091,0.166,0.101,0.102,51.526,-0.111
0.518,0.03,0.133,0.256,0.187,0.032,0.04,52.24,0.605
0.498,0.107,0.104,0.117,0.227,0.048,0.044,50.973,-1.364
0.524,0.048,0.207,0.326,0.125,0.061,0.029,51.831,-2.265
0.495,0.043,0.251,0.214,0.15,0.141,0.03,55.006,-1.503
0.52,0.18,0.065,0.037,0.293,0.029,0.042,51.88,0.815
0.514,0.043,0.165,0.263,0.171,0.042,0.027,52.811,-0.149
0.51,0.022,0.117,0.257,0.147,0.051,0.028,51.932,-2.213
0.339,0.31,0.238,0.077,0.156,0.174,0.053,53.795,-1.579
0.494,0.677,0.227,0.119,0.173,0.082,0.071,51.597,-0.282
0.502,0.419,0.223,0.145,0.275,0.132,0.088,53.484,-2.175
0.518,0.348,0.121,0.189,0.278,0.071,0.055,51.625,-0.273
0.514,0.046,0.211,0.227,0.19,0.076,0.028,51.574,0.706
0.502,0.053,0.092,0.136,0.202,0.034,0.043,53.803,-1.666
0.467,0.488,0.052,0.013,0.127,0.044,0.091,51.548,-0.01
0.506,0.038,0.102,0.234,0.169,0.034,0.039,51.459,-1.741
0.379,0.059,0.14,0.228,0.123,0.078,0.033,52.952,-0.899
0.522,0.273,0.132,0.206,0.187,0.048,0.04,51.685,-0.388
0.497,0.052,0.243,0.146,0.196,0.112,0.065,51.346,1.409
0.481,0.094,0.294,0.069,0.208,0.064,0.03,52.976,-0.028
0.519,0.025,0.121,0.199,0.16,0.049,0.049,50.819,-0.519
0.509,0.363,0.084,0.081,0.129,0.067,0.043,51.452,-0.129
0.501,0.652,0.173,0.135,0.296,0.095,0.073,52.499,-1.801
0.523,0.355,0.066,0.108,0.199,0.057,0.048,51.412,-0.077
0.472,0.228,0.152,0.075,0.157,0.081,0.103,52.617,-1.143
0.5,0.052,0.183,0.15,0.195,0.085,0.05,53.775,-2.406
0.469,0.165,0.21,0.135,0.184,0.106,0.046,53.498,-2.516
0.469,0.72,0.295,0.051,0.274,0.165,0.073,52.586,-0.253
0.518,0.007,0.186,0.157,0.213,0.072,0.034,54.851,-1.486
0.508,0.011,0.123,0.306,0.138,0.033,0.035,54.708,-2.546
0.513,0.374,0.091,0.15,0.221,0.048,0.058,51.602,-0.179
0.515,0.615,0.167,0.137,0.217,0.119,0.085,51.565,-0.214
0.573,0.638,0.127,0.088,0.194,0.087,0.087,51.445,-0.116
0.499,0.059,0.113,0.148,0.174,0.039,0.04,51.221,-1.49
0.468,0.545,0.14,0.077,0.163,0.101,0.076,51.536,0.014
0.507,0.163,0.119,0.176,0.169,0.049,0.067,51.889,0.911
0.525,0.028,0.134,0.248,0.176,0.057,0.037,52.866,-2.983
0.53,0.341,0.212,0.128,0.204,0.068,0.05,51.72,-1.208
0.5,0.117,0.19,0.143,0.143,0.135,0.042,54.977,-1.435
0.504,0.033,0.181,0.192,0.175,0.072,0.024,52.618,0.027
0.514,0.022,0.118,0.274,0.13,0.048,0.034,52.13,-2.319
0.495,0.094,0.075,0.214,0.169,0.039,0.054,53.615,-2.454
0.516,0.033,0.168,0.232,0.155,0.103,0.044,53.063,-3.021
0.5,0.2,0.072,0.053,0.202,0.033,0.053,51.903,0.887
0.499,0.395,0.141,0.068,0.235,0.098,0.115,52.611,-1.129
0.507,0.027,0.213,0.304,0.147,0.046,0.03,53.137,-1.26
0.507,0.043,0.067,0.234,0.193,0.037,0.058,53.923,-1.795
0.496,0.762,0.122,0.231,0.188,0.066,0.059,52.606,-1.074
0.526,0.078,0.061,0.208,0.202,0.024,0.039,51.244,-0.188
0.513,0.836,0.217,0.087,0.304,0.157,0.109,53.803,-1.729
0.503,0.199,0.13,0.176,0.2,0.042,0.034,51.561,0.443
0.529,0.369,0.095,0.081,0.196,0.059,0.045,51.406,-0.06
0.509,0.339,0.113,0.16,0.201,0.077,0.064,53.654,-1.808
0.504,0.057,0.05,0.258,0.18,0.029,0.034,51.121,0.263
0.534,0.033,0.159,0.192,0.199,0.062,0.036,52.12,-2.099
0.527,0.042,0.175,0.198,0.204,0.049,0.038,52.372,-0.682
0.534,0.03,0.156,0.373,0.121,0.055,0.035,50.823,-0.452
0.524,0.023,0.104,0.251,0.159,0.03,0.043,53.572,-1.694
0.501,0.151,0.165,0.221,0.154,0.057,0.068,51.644,0.067
0.514,0.527,0.184,0.116,0.206,0.129,0.066,51.541,-0.033
0.522,0.036,0.17,0.351,0.131,0.055,0.03,53.903,-1.697
0.492,0.351,0.217,0.136,0.199,0.095,0.057,52.582,-2.041
0.5,0.052,0.167,0.261,0.129,0.076,0.04,55.027,-1.554
0.536,0.25,0.248,0.108,0.288,0.148,0.06,52.999,-1.202
0.512,0.306,0.214,0.086,0.29,0.117,0.083,52.642,-1.166
0.527,0.158,0.033,0.274,0.135,0.046,0.071,54.995,-1.6
0.52,0.203,0.051,0.178,0.171,0.049,0.063,51.498,-0.258
0.508,0.046,0.125,0.166,0.18,0.04,0.054,53.472,-1.47
0.509,0.079,0.1,0.173,0.206,0.034,0.046,50.954,-0.15
0.489,0.539,0.189,0.101,0.271,0.124,0.09,53.642,-1.813
0.53,0.353,0.111,0.273,0.166,0.083,0.053,51.637,-0.168
0.498,0.122,0.076,0.088,0.198,0.057,0.049,54.547,-1.332
0.508,0.355,0.149,0.125,0.193,0.071,0.075,51.38,-0.288
0.532,0.612,0.074,0.035,0.096,0.056,0.694,52.485,-1.884
0.504,0.026,0.16,0.257,0.166,0.049,0.034,52.368,-0.741
0.505,0.067,0.183,0.174,0.148,0.058,0.033,52.216,-2.196
0.506,0.06,0.157,0.118,0.255,0.051,0.037,51.081,-1.826
0.519,0.101,0.157,0.22,0.245,0.057,0.102,51.099,0.541
0.551,0.442,0.185,0.107,0.201,0.102,0.083,51.605,-0.106
0.479,0.093,0.344,0.155,0.122,0.095,0.039,52.664,0.158
0.505,0.557,0.076,0.168,0.179,0.075,0.078,51.52,-0.288
0.514,0.058,0.199,0.237,0.168,0.068,0.037,53.439,-1.458
0.529,0.052,0.219,0.236,0.151,0.076,0.027,53.729,-1.664
0.51,0.206,0.143,0.232,0.189,0.059,0.053,52.599,-1.85
0.531,0.957,0.24,0.086,0.27,0.176,0.1,53.744,-2.464
0.529,0.568,0.164,0.078,0.221,0.114,0.116,53.447,-2.239
0.504,0.04,0.126,0.079,0.218,0.041,0.038,53.521,-1.375
0.504,0.075,0.121,0.17,0.155,0.048,0.052,54.942,-1.63
0.516,0.261,0.142,0.152,0.206,0.048,0.042,51.378,-0.168
0.542,0.603,0.112,0.083,0.229,0.068,0.09,51.461,-0.056
0.522,0.165,0.109,0.213,0.143,0.051,0.058,51.892,0.889
0.483,0.268,0.133,0.064,0.178,0.069,0.096,53.484,-2.295
0.518,0.166,0.088,0.058,0.349,0.029,0.041,51.25,-1.654
0.515,0.103,0.151,0.153,0.231,0.046,0.032,51.623,0.513
0.503,0.09,0.051,0.166,0.168,0.033,0.055,51.071,-1.315
0.498,0.094,0.144,0.166,0.179,0.043,0.033,51.468,-2.504
0.502,0.099,0.045,0.099,0.224,0.016,0.045,51.299,-1.05
0.472,0.184,0.231,0.088,0.246,0.103,0.051,53.739,-0.367
0.522,0.24,0.147,0.182,0.183,0.068,0.051,51.458,0.138
0.498,0.279,0.14,0.117,0.204,0.053,0.08,51.766,-0.223
0.482,0.635,0.181,0.098,0.182,0.15,0.134,51.513,-0.017
0.535,0.037,0.143,0.322,0.15,0.075,0.035,50.774,0.112
0.47,0.307,0.131,0.136,0.179,0.052,0.05,51.129,-0.165
0.511,0.061,0.119,0.208,0.181,0.039,0.039,51.598,-2.976
0.519,0.513,0.216,0.133,0.22,0.103,0.076,51.662,-0.04
0.513,0.462,0.137,0.167,0.236,0.071,0.048,53.799,-1.699
0.499,0.193,0.198,0.168,0.182,0.071,0.054,52.634,-1.203
0.461,0.653,0.219,0.105,0.268,0.182,0.097,54.972,-1.646
0.506,0.223,0.2,0.123,0.207,0.124,0.043,53.477,-2.35
0.522,0.556,0.162,0.12,0.193,0.096,0.065,51.424,-0.086
0.495,0.196,0.124,0.217,0.166,0.041,0.056,52.315,-0.71
0.509,0.019,0.125,0.284,0.139,0.045,0.037,51.846,-2.836
0.524,0.088,0.083,0.254,0.153,0.037,0.04,51.136,0.257
0.521,0.088,0.214,0.164,0.197,0.139,0.034,51.334,1.422
0.518,0.473,0.217,0.11,0.266,0.13,0.056,53.591,-2.447
0.508,0.425,0.174,0.136,0.205,0.08,0.067,51.47,0.037
0.513,0.399,0.092,0.079,0.181,0.046,0.038,51.36,-0.09
0.515,0.014,0.115,0.261,0.167,0.034,0.043,53.906,-1.138
0.508,0.021,0.084,0.182,0.174,0.029,0.039,50.912,-1.51
0.516,0.19,0.223,0.115,0.224,0.204,0.055,54.561,-1.293
0.508,0.025,0.148,0.284,0.138,0.051,0.037,53.054,-0.775
