indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.505,0.035,0.106,0.165,0.155,0.039,0.041,53.649,-2.324
0.529,0.622,0.151,0.061,0.195,0.113,0.082,51.553,-0.07
0.541,0.143,0.05,0.137,0.171,0.038,0.049,51.464,-0.222
0.509,0.056,0.088,0.312,0.139,0.031,0.04,51.119,-0.796
0.511,0.32,0.2,0.124,0.218,0.093,0.072,51.455,0.041
0.482,0.548,0.162,0.119,0.175,0.072,0.085,51.542,-0.348
0.506,0.014,0.124,0.252,0.147,0.036,0.042,53.077,-2.677
0.532,0.095,0.186,0.131,0.211,0.101,0.037,53.418,-2.86
0.501,0.032,0.126,0.317,0.135,0.072,0.039,50.788,-1.143
0.522,0.528,0.228,0.135,0.137,0.121,0.067,51.587,-0.075
0.531,0.074,0.138,0.312,0.173,0.04,0.039,52.088,-0.737
0.515,0.025,0.116,0.269,0.14,0.058,0.042,52.493,-0.765
0.514,0.033,0.079,0.223,0.176,0.03,0.033,51.848,-0.252
0.525,0.118,0.115,0.158,0.229,0.043,0.054,51.581,-0.764
0.5,0.026,0.095,0.253,0.162,0.035,0.035,51.422,-1.179
0.51,0.231,0.107,0.167,0.2,0.044,0.058,52.407,-1.442
0.481,0.018,0.173,0.257,0.163,0.05,0.037,53.168,-2.005
0.467,0.15,0.076,0.086,0.087,0.043,0.058,53.443,-2.279
0.526,0.019,0.125,0.314,0.171,0.046,0.038,50.448,-4.477
0.504,0.278,0.133,0.15,0.214,0.074,0.063,51.448,-0.369
0.548,0.522,0.2,0.087,0.299,0.12,0.08,53.506,-2.193
0.512,0.093,0.142,0.261,0.154,0.076,0.038,53.382,-2.865
0.53,0.578,0.131,0.089,0.198,0.076,0.051,51.404,-0.074
0.518,0.312,0.068,0.095,0.142,0.04,0.055,51.469,-0.073
0.553,0.024,0.11,0.356,0.141,0.055,0.035,53.56,-3.063
0.509,0.692,0.185,0.098,0.192,0.133,0.095,51.536,0.004
0.485,0.293,0.058,0.192,0.188,0.047,0.049,51.335,-0.107
0.52,0.054,0.12,0.24,0.18,0.042,0.031,50.974,-1.451
