script,op,lineno,raw_target,resolved_type,resolved_path,exists,hint
scripts/fig_8_B.py,write,222,"out_pdf, bbox_inches=""tight"", pad_inches=0",unknown,out_pdf,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_8_B.py,write,223,"out_svg, bbox_inches=""tight"", pad_inches=0",unknown,out_svg,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/ICE_IA.py,write,67,"path, index=False, encoding=""utf-8""",unknown,path,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/ICE_IA.py,write,71,"path, arr",unknown,path,,\bnp\.savez?\(\s*([^\)]+?)\s*\)
scripts/ICE_IA.py,read,75,path,unknown,path,,"\bopen\(\s*([^,]+?)\s*,"
scripts/ICE_IA.py,write,76,"f, ensure_ascii=False, indent=2",unknown,f,,"\bjson\.dump\(\s*[^,]+,\s*([^\)]+?)\s*\)"
scripts/ICE_IA.py,read,86,MODEL_PATH,unknown,MODEL_PATH,,\bjoblib\.load\(\s*([^\)]+?)\s*\)
scripts/ICE_IA.py,read,87,VAL_SET_PATH,unknown,VAL_SET_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/ICE_IA.py,write,161,"path_fig_ice_png, dpi=300",unknown,path_fig_ice_png,,\bplt\.savefig\(\s*([^\)]+?)\s*\)
scripts/ICE_IA.py,write,195,"path_fig_spatial_png, dpi=300",unknown,path_fig_spatial_png,,\bplt\.savefig\(\s*([^\)]+?)\s*\)
scripts/ICE_IP.py,write,67,"path, index=False, encoding=""utf-8""",unknown,path,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/ICE_IP.py,write,71,"path, arr",unknown,path,,\bnp\.savez?\(\s*([^\)]+?)\s*\)
scripts/ICE_IP.py,read,75,path,unknown,path,,"\bopen\(\s*([^,]+?)\s*,"
scripts/ICE_IP.py,write,76,"f, ensure_ascii=False, indent=2",unknown,f,,"\bjson\.dump\(\s*[^,]+,\s*([^\)]+?)\s*\)"
scripts/ICE_IP.py,read,86,MODEL_PATH,unknown,MODEL_PATH,,\bjoblib\.load\(\s*([^\)]+?)\s*\)
scripts/ICE_IP.py,read,87,VAL_SET_PATH,unknown,VAL_SET_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/ICE_IP.py,write,161,"path_fig_ice_png, dpi=300",unknown,path_fig_ice_png,,\bplt\.savefig\(\s*([^\)]+?)\s*\)
scripts/ICE_IP.py,write,195,"path_fig_spatial_png, dpi=300",unknown,path_fig_spatial_png,,\bplt\.savefig\(\s*([^\)]+?)\s*\)
scripts/OCI_IA.py,read,77,SHP_PATH,unknown,SHP_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/OCI_IA.py,read,80,CSV_PATH,unknown,CSV_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/OCI_IA.py,read,97,COL_TXT_PATH,unknown,COL_TXT_PATH,,"\bopen\(\s*([^,]+?)\s*,"
scripts/OCI_IA.py,write,209,"OUT_PATH, index=False, encoding=""utf-8-sig""",unknown,OUT_PATH,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/OCI_IP.py,read,77,SHP_PATH,unknown,SHP_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/OCI_IP.py,read,80,CSV_PATH,unknown,CSV_PATH,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/OCI_IP.py,read,97,COL_TXT_PATH,unknown,COL_TXT_PATH,,"\bopen\(\s*([^,]+?)\s*,"
scripts/OCI_IP.py,write,209,"OUT_PATH, index=False, encoding=""utf-8-sig""",unknown,OUT_PATH,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/RF_IA.py,read,42,INPUT_CSV,unknown,INPUT_CSV,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/RF_IA.py,write,111,MODEL_PATH,unknown,MODEL_PATH,,"\bjoblib\.dump\(\s*[^,]+,\s*([^\)]+?)\s*\)"
scripts/RF_IA.py,write,164,"PRED_PATH, index=False",unknown,PRED_PATH,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/RF_IA.py,write,170,"TRAIN_PATH, index=False",unknown,TRAIN_PATH,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/RF_IA.py,write,171,"VAL_PATH, index=False",unknown,VAL_PATH,,\bto_csv\(\s*([^\)]+?)\s*\)
scripts/RF_IP.py,read,42,INPUT_CSV,unknown,INPUT_CSV,,\bpd\.read_csv\(\s*([^\)]+?)\s*\)
scripts/RF_IP.py,write,111,MODEL_PATH,unknown,MODEL_PATH,,"\bjoblib\.dump\(\s*[^,]+,\s*([^\)]+?)\s*\)"
